You have taken a sacred vow to forswear material possessions.
Prerequisites: Sacred Vow.

Benefit: You gain bonuses to your Armor Class, ability scores, and saving throws, as well as bonus exalted feats, all depending on your character level. See Voluntary Poverty in Chapter 2 for details.

Special: To fulfill your vow, you must not own or use any material possessions, with the following exceptions: You may carry and use ordinary (neither magic nor masterwork) simple weapons, usually just a quarterstaff that serves as a walking stick. You may wear simple clothes (usually just a homespun robe, possibly also including a hat and sandals) with no magical properties. You may carry enough food to sustain you for one day in a simple (nonmagic) sack or bag. You may carry and use a spell component pouch. You may not use any magic item of any sort, though you can benefit from magic items used on your behalf—you can drink a potion of cure serious wounds a friend gives you, receive a spell cast from a wand, scroll, or staff, or ride on your companion’s ebony fly. You may not, however, “borrow” a cloak of resistance or any other magic item from a companion for even a single round, nor may you yourself cast a spell from a scroll, wand, or staff.

If you break your vow, you immediately and irrevocably lose the benefit of this feat. You may not take another feat to replace it.

Table 2–3: Voluntary Poverty
Character Level Benefit
1st 	AC bonus +4
2nd 	Bonus exalted feat
3rd 	AC bonus +5, endure elements
4th 	Exalted strike +1 (magic), bonus exalted feat
5th 	Sustenance
6th 	AC bonus +6, deflection +1, bonus exalted feat
7th 	Resistance +1, ability score enhancement +2
8th 	Natural armor +1, mind shielding, bonus exalted feat
9th 	AC bonus +7
10th 	Exalted strike +2 (good), damage reduction 5/magic, bonus exalted feat
11th 	Ability score enhancement +4/+2
12th 	AC bonus +8, deflection +2, greater sustenance, bonus exalted feat
13th 	Resistance +2, energy resistance 5
14th 	Exalted strike +3, freedom of movement, bonus exalted feat
15th 	AC bonus +9, ability score enhancement +6/+4/+2, damage reduction 5/evil
16th 	Natural armor +2, bonus exalted feat
17th 	Exalted strike +4, resistance +3, regeneration
18th 	AC bonus +10, deflection +3, true seeing, bonus exalted feat
19th 	Ability score enhancement +8/+6/+4/+2, damage reduction 10/evil
20th 	Exalted strike +5, energy resistance 15, bonus exaltedfeat
